StateName,Price
AL,229040.38461538462
AR,221737.57142857142
AZ,397297.5625
CA,600618.828125
CO,631629.1666666666
CT,377185.0
DE,393500.0
FL,356511.95652173914
GA,257952.44
HI,686390.5
IA,200972.22222222222
ID,426079.125
IL,148655.1052631579
IN,206837.0652173913
KS,240256.375
KY,231240.0
LA,213393.75
MA,477850.0
MD,306750.0
ME,331800.0
MI,218071.0
MN,273148.3333333333
MO,224791.96153846153
MS,218393.0
MT,448158.1
NC,315919.0
ND,271683.8333333333
NE,254000.0
NH,406216.625
NJ,365617.125
NM,350696.7
NV,458140.0
NY,231653.0
OH,173541.93548387097
OK,185083.33333333334
OR,434103.75
PA,211545.91304347827
RI,430000.0
SC,283204.5
SD,199500.0
TN,264041.13636363635
TX,266002.3333333333
UT,545445.75
VA,308526.8181818182
WA,456740.4411764706
WI,252122.5
WV,186208.33333333334
WY,327756.0
